api_id,name,first_name,last_name,email,phone_number,created_at,approval_status,checked_in_at,custom_source,qr_code_url,amount,amount_tax,amount_discount,currency,coupon_code,eth_address,solana_address,survey_response_rating,survey_response_feedback,ticket_type_id,ticket_name,LinkedIn,How did you hear about the event?,What project(s) are you working on?,"What phase are you in? ",What are your superpower (skills you have)🦸?,Do you have any other superpowers we missed?,What do you need help with right now?🚁,Any additional details on what you're looking help with? We'll try our best to match you  with someone in the community with those skills
gst-DEMO011,Nina Patel,Nina,Patel,nina.patel@example.com,+14165551122,2026-01-12T11:15:00.000Z,approved,2026-01-18T18:50:00.000Z,,https://example.com/checkin/011,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/ninapatel,LinkedIn,Creating an e-commerce platform for artisanal food makers,Momentum phase (growing),"Design (UX/UI), Social media branding/content, Food industry experience",,Web development,Need help with payment integrations
gst-DEMO012,Alex Nguyen,Alex,Nguyen,alex.nguyen@example.com,+14165552233,2026-01-12T12:30:00.000Z,approved,2026-01-18T18:55:00.000Z,,https://example.com/checkin/012,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/alexnguyen,Meetup.com,Developing a smart home energy management system,Build phase (building),"Hardware prototyping, Mobile app development, AI automations",IoT expertise,Pitching & Fundraising,Looking for climate-focused investors
gst-DEMO013,Jasmine Lee,Jasmine,Lee,jasmine.lee@example.com,+14165553344,2026-01-12T13:45:00.000Z,approved,2026-01-18T19:00:00.000Z,,https://example.com/checkin/013,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/jasminelee,Instagram,Building a virtual event platform for creative workshops,Spark phase (ideation),"Filmmaking/photography, Community Building, Design (UX/UI)",,Web development,Need a full-stack developer co-founder
gst-DEMO014,Omar Hassan,Omar,Hassan,omar.h@example.com,+14165554455,2026-01-12T14:30:00.000Z,approved,2026-01-18T19:05:00.000Z,,https://example.com/checkin/014,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/omarhassan,Newsletter,Creating a legal tech platform for startup incorporation,Build phase (building),"Web development, Legal background, Sales",,Design (UX/UI),Want to simplify our user interface
gst-DEMO015,Rachel Green,Rachel,Green,rachel.g@example.com,+14165555566,2026-01-12T15:45:00.000Z,approved,2026-01-18T19:10:00.000Z,,https://example.com/checkin/015,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/rachelgreen,Twitter,Working on a pet care marketplace connecting owners with local services,Momentum phase (growing),"Social media branding/content, Community Building, Sales",,Mobile app development,Want to launch a native mobile app
gst-DEMO016,Chris Taylor,Chris,Taylor,chris.t@example.com,+14165556677,2026-01-13T09:00:00.000Z,approved,2026-01-18T19:15:00.000Z,,https://example.com/checkin/016,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/christaylor,Podcast,Building an AI writing assistant for academic researchers,Build phase (building),"AI automations, Web development, Academic research background",,Pitching & Fundraising,Looking to connect with edtech investors
gst-DEMO017,Mia Wong,Mia,Wong,mia.wong@example.com,+14165557788,2026-01-13T10:15:00.000Z,approved,2026-01-18T19:20:00.000Z,,https://example.com/checkin/017,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/miawong,Friend referral,Creating a subscription box platform for local makers,Spark phase (ideation),"Design (UX/UI), Social media branding/content, E-commerce",,Web development,Need help building our supplier portal
gst-DEMO018,Daniel Brown,Daniel,Brown,daniel.b@example.com,+14165558899,2026-01-13T11:30:00.000Z,approved,2026-01-18T19:25:00.000Z,,https://example.com/checkin/018,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/danielbrown,MakersLounge community,Developing a fitness app with personalized AI coaching,Build phase (building),"Mobile app development, AI automations, Fitness industry",,Community Building,Looking for fitness influencer partnerships
gst-DEMO019,Ananya Gupta,Ananya,Gupta,ananya.g@example.com,+14165559900,2026-01-13T12:45:00.000Z,approved,2026-01-18T19:30:00.000Z,,https://example.com/checkin/019,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/ananyagupta,LinkedIn,Working on a B2B SaaS for supply chain visibility,Momentum phase (growing),"Sales, Web development, Supply chain expertise",,Pitching & Fundraising,Preparing for Series A
gst-DEMO020,Tyler Jackson,Tyler,Jackson,tyler.j@example.com,+14165550011,2026-01-13T14:00:00.000Z,approved,2026-01-18T19:35:00.000Z,,https://example.com/checkin/020,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/tylerjackson,Eventbrite,Building a gaming community platform with tournament features,Build phase (building),"Web development, Community Building, Gaming industry",,Design (UX/UI),Want to improve our tournament bracket UX
gst-DEMO021,Zara Ahmed,Zara,Ahmed,zara.a@example.com,+14165551133,2026-01-13T15:15:00.000Z,approved,,,https://example.com/checkin/021,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/zaraahmed,Instagram,Creating a fashion resale platform focused on sustainability,Spark phase (ideation),"Social media branding/content, Design (UX/UI), Fashion industry",,Web development,Need technical help building the platform
gst-DEMO022,Lucas Silva,Lucas,Silva,lucas.s@example.com,+14165552244,2026-01-14T08:30:00.000Z,approved,,,https://example.com/checkin/022,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/lucassilva,Newsletter,Developing a music collaboration platform for remote artists,Build phase (building),"Web development, Filmmaking/photography, Music production",,Community Building,Looking for musicians to test and give feedback
gst-DEMO023,Emma Wilson,Emma,Wilson,emma.w@example.com,+14165553355,2026-01-14T09:45:00.000Z,approved,,,https://example.com/checkin/023,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/emmawilson,Twitter,Working on an AI-powered recruiting tool for startups,Momentum phase (growing),"AI automations, Sales, HR tech background",,Design (UX/UI),Want to redesign our candidate dashboard
gst-DEMO024,James Chen,James,Chen,james.chen@example.com,+14165554466,2026-01-14T11:00:00.000Z,approved,,,https://example.com/checkin/024,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/jameschen,Friend referral,Building a real estate investment analysis platform,Build phase (building),"Web development, Data science, Real estate finance",,Mobile app development,Want to add a mobile companion app
gst-DEMO025,Olivia Santos,Olivia,Santos,olivia.s@example.com,+14165555577,2026-01-14T12:15:00.000Z,approved,,,https://example.com/checkin/025,CA$5.00,CA$0.00,CA$0.00,cad,,,,,,evtticktyp-DEMO,Standard,https://linkedin.com/in/oliviasantos,Podcast,Creating a childcare booking platform for parents,Spark phase (ideation),"Design (UX/UI), Community Building, Childcare industry",,Web development,Need a technical co-founder
gst-DEMO026,Nathan Park,Nathan,Park,nathan.p@example.com,+14165556688,2026-01-14T13:30:00.000Z,invited,,,https://example.com/checkin/026,,,,,,,,,,,,,,,,,,,
gst-DEMO027,Ava Thompson,Ava,Thompson,ava.t@example.com,+14165557799,2026-01-14T14:45:00.000Z,invited,,,https://example.com/checkin/027,,,,,,,,,,,,,,,,,,,
gst-DEMO028,Ethan Miller,Ethan,Miller,ethan.m@example.com,,2026-01-14T15:30:00.000Z,invited,,,https://example.com/checkin/028,,,,,,,,,,,,,,,,,,,
gst-DEMO029,Isabella Lee,Isabella,Lee,isabella.l@example.com,,2026-01-15T08:00:00.000Z,invited,,,https://example.com/checkin/029,,,,,,,,,,,,,,,,,,,
gst-DEMO030,Noah Garcia,Noah,Garcia,noah.g@example.com,,2026-01-15T09:15:00.000Z,declined,,,https://example.com/checkin/030,,,,,,,,,,,,,,,,,,,
